Amazon Order ID,Odoo Order IDs,Odoo Order Names,Invoice Statuses,States,Amounts
306-1004185-0755502,156763; 156279,FBA306-1004185-0755502; FBA306-1004185-0755502,to invoice; invoiced,sale; sale,24.103; 28.677
303-9005955-9422721,156756; 156299,FBA303-9005955-9422721; FBA303-9005955-9422721,to invoice; invoiced,sale; sale,57.367; 28.677
028-2354504-2770702,156185; 156184,FBA028-2354504-2770702; FBA028-2354504-2770702,to invoice; invoiced,sale; sale,57.354; 28.69
028-3531747-9863542,155974; 155973,FBA028-3531747-9863542; FBA028-3531747-9863542,to invoice; invoiced,sale; sale,28.677; 25.229
304-2543067-3839552,156256; 156255,FBA304-2543067-3839552; FBA304-2543067-3839552,to invoice; invoiced,sale; sale,25.229; 28.677
406-8249564-6004320,156918; 155775,FBA406-8249564-6004320; FBA406-8249564-6004320,to invoice; to invoice,sale; sale,74.85; 174.65
303-8305542-4833950,157312; 156240,FBA303-8305542-4833950; FBA303-8305542-4833950,invoiced; invoiced,sale; sale,29.826; 28.677
304-9668786-9293136,154467; 154466,FBA304-9668786-9293136; FBA304-9668786-9293136,to invoice; invoiced,sale; sale,50.457; 57.366
305-0925679-0728368,157461; 157460,FBA305-0925679-0728368; FBA305-0925679-0728368,to invoice; invoiced,sale; sale,28.677; 28.677
305-8799263-5440357,156189; 156188,FBA305-8799263-5440357; FBA305-8799263-5440357,to invoice; invoiced,sale; sale,25.229; 25.229
303-0328412-5756332,156226; 156225,FBA303-0328412-5756332; FBA303-0328412-5756332,to invoice; to invoice,sale; sale,28.677; 25.229
303-9522558-8544357,154623; 154622,FBA303-9522558-8544357; FBA303-9522558-8544357,invoiced; invoiced,sale; sale,28.677; 28.677
306-3978259-8716345,154601; 154600,FBA306-3978259-8716345; FBA306-3978259-8716345,to invoice; invoiced,sale; sale,28.677; 28.677
303-0762492-4377160,156276; 156275,FBA303-0762492-4377160; FBA303-0762492-4377160,to invoice; invoiced,sale; sale,22.93; 25.229
306-0049962-8505905,154637; 154636,FBA306-0049962-8505905; FBA306-0049962-8505905,to invoice; invoiced,sale; sale,28.677; 57.367
028-0207704-9153939,156222; 155096,FBA028-0207704-9153939; FBA028-0207704-9153939,invoiced; invoiced,sale; sale,28.677; 28.677
303-7682757-3099552,156579; 156578,FBA303-7682757-3099552; FBA303-7682757-3099552,to invoice; to invoice,sale; sale,57.366; 45.86
303-5654460-2869133,156393; 154165,FBA303-5654460-2869133; FBA303-5654460-2869133,invoiced; invoiced,sale; sale,25.229; 28.677
302-3141834-5012328,155233; 154168,FBA302-3141834-5012328; FBA302-3141834-5012328,invoiced; invoiced,sale; sale,28.677; 28.677
305-4459799-9653125,155989; 155988,FBA305-4459799-9653125; FBA305-4459799-9653125,to invoice; invoiced,sale; sale,25.229; 29.826
306-8256880-1657901,154262; 154261,FBA306-8256880-1657901; FBA306-8256880-1657901,to invoice; to invoice,sale; sale,28.677; 28.677
305-9568449-3467563,154305; 154304,FBA305-9568449-3467563; FBA305-9568449-3467563,to invoice; to invoice,sale; sale,22.93; 25.229
028-6470478-1358752,154301; 154300,FBA028-6470478-1358752; FBA028-6470478-1358752,to invoice; invoiced,sale; sale,28.677; 28.677
305-3874549-3449910,155345; 154259,FBA305-3874549-3449910; FBA305-3874549-3449910,invoiced; invoiced,sale; sale,29.838; 29.814
404-1629243-7773942,154918; 154917,FBA404-1629243-7773942; FBA404-1629243-7773942,to invoice; invoiced,sale; sale,30.19; 30.19
028-3269120-3967565,146342; 146341,FBA028-3269120-3967565; FBA028-3269120-3967565,to invoice; invoiced,sale; sale,22.93; 25.229
306-7220062-7078765,146395; 146394,FBA306-7220062-7078765; FBA306-7220062-7078765,to invoice; invoiced,sale; sale,28.677; 22.93
304-0733778-3025113,146435; 146434,FBA304-0733778-3025113; FBA304-0733778-3025113,to invoice; invoiced,sale; sale,33.275; 30.976
302-8473887-8005144,145741; 145480,FBA302-8473887-8005144; FBA302-8473887-8005144,invoiced; invoiced,sale; sale,30.988; 30.964
304-7943052-1218738,145383; 145072,FBA304-7943052-1218738; FBA304-7943052-1218738,invoiced; invoiced,sale; sale,30.976; 30.976
305-4170320-3146765,144984; 144983,FBA305-4170320-3146765; FBA305-4170320-3146765,to invoice; invoiced,sale; sale,38.974; 20.63
406-2774640-2364353,144697; 144498; 144497,FBA406-2774640-2364353; FBA406-2774640-2364353; FBA406-2774640-2364353,invoiced; to invoice; invoiced,sale; sale; sale,28.98; 31.448; 28.98
302-9961351-2105939,145107; 144949,FBA302-9961351-2105939; FBA302-9961351-2105939,to invoice; to invoice,sale; sale,42.41; 346.764
302-6657514-3910765,144534; 144112,FBA302-6657514-3910765; FBA302-6657514-3910765,invoiced; invoiced,sale; sale,30.976; 22.93
302-0532564-8893123,143064; 142895,FBA302-0532564-8893123; FBA302-0532564-8893123,invoiced; invoiced,sale; sale,57.366; 28.677
304-5956180-5013160,143330; 143329,FBA304-5956180-5013160; FBA304-5956180-5013160,invoiced; invoiced,sale; sale,33.275; 25.229
302-1743044-4262747,146385; 142800,FBA302-1743044-4262747; FBA302-1743044-4262747,invoiced; invoiced,sale; sale,25.229; 33.275
405-1594604-7322759,142640; 142358,FBA405-1594604-7322759; FBA405-1594604-7322759,invoiced; invoiced,sale; sale,31.944; 33.953
302-5999101-1953167,143051; 142954,FBA302-5999101-1953167; FBA302-5999101-1953167,to invoice; to invoice,sale; sale,30.988; 30.964
302-6794086-6695546,142131; 141970,FBA302-6794086-6695546; FBA302-6794086-6695546,invoiced; invoiced,sale; sale,25.229; 25.229
304-4795551-4104304,143581; 143301,FBA304-4795551-4104304; FBA304-4795551-4104304,to invoice; to invoice,sale; sale,172.062; 544.938
302-7321861-8871552,141986; 141985,FBA302-7321861-8871552; FBA302-7321861-8871552,invoiced; invoiced,sale; sale,33.275; 30.976
028-3518374-2065902,141705; 141471,FBA028-3518374-2065902; FBA028-3518374-2065902,invoiced; invoiced,sale; sale,30.976; 22.93
304-8046249-4611537,141803; 141802,FBA304-8046249-4611537; FBA304-8046249-4611537,to invoice; to invoice,sale; sale,51.679; 51.655
302-8004173-5201148,141808; 141487,FBA302-8004173-5201148; FBA302-8004173-5201148,invoiced; invoiced,sale; sale,28.677; 28.677
303-9779113-2271528,141461; 141419,FBA303-9779113-2271528; FBA303-9779113-2271528,to invoice; invoiced,sale; sale,30.976; 33.275
171-2766156-7130700,142050; 141598,FBA171-2766156-7130700; FBA171-2766156-7130700,to invoice; to invoice,sale; sale,72.419; 96.558
303-5598620-2793929,141422; 141205,FBA303-5598620-2793929; FBA303-5598620-2793929,invoiced; invoiced,sale; sale,28.677; 28.677
302-1027930-2125956,142141; 141989,FBA302-1027930-2125956; FBA302-1027930-2125956,to invoice; to invoice,sale; sale,28.677; 28.677
304-5424861-0609139,140942; 140941,FBA304-5424861-0609139; FBA304-5424861-0609139,to invoice; to invoice,sale; sale,103.334; 51.679
302-8129951-0447518,140630; 140400,FBA302-8129951-0447518; FBA302-8129951-0447518,to invoice; invoiced,sale; sale,26.378; 33.275
402-8120124-9118759,140645; 140408,FBA402-8120124-9118759; FBA402-8120124-9118759,invoiced; invoiced,sale; sale,56.265; 56.265
403-4722617-9551543,141160; 140996,FBA403-4722617-9551543; FBA403-4722617-9551543,to invoice; to invoice,sale; sale,106.735; 33.275
028-8351753-9905936,138403; 138402,FBA028-8351753-9905936; FBA028-8351753-9905936,invoiced; invoiced,sale; sale,19.481; 19.481
306-2389908-6829964,138319; 138318,FBA306-2389908-6829964; FBA306-2389908-6829964,invoiced; invoiced,sale; sale,51.655; 51.679
408-8353241-4756359,138011; 138010,FBA408-8353241-4756359; FBA408-8353241-4756359,invoiced; invoiced,sale; sale,24.079; 24.079
407-0948810-0621903,138872; 137988,FBA407-0948810-0621903; FBA407-0948810-0621903,invoiced; to invoice,sale; sale,23.898; 71.693
402-2315884-3610715,136768; 136628,FBA402-2315884-3610715; FBA402-2315884-3610715,invoiced; invoiced,sale; sale,34.424; 22.93
171-5254816-7801914,135679; 135678,FBA171-5254816-7801914; FBA171-5254816-7801914,to invoice; invoiced,sale; sale,31.4; 28.98
406-4929183-6064355,134967; 134574,FBA406-4929183-6064355; FBA406-4929183-6064355,invoiced; invoiced,sale; sale,27.77; 59.17
306-9059569-4401111,134087; 134086,FBA306-9059569-4401111; FBA306-9059569-4401111,to invoice; to invoice,sale; sale,28.677; 30.976
403-1867223-9584314,133370; 133193,FBA403-1867223-9584314; FBA403-1867223-9584314,invoiced; invoiced,sale; sale,33.275; 33.275
302-4815247-5207549,132819; 132696,FBA302-4815247-5207549; FBA302-4815247-5207549,to invoice; to invoice,sale; sale,28.677; 33.275
